title,genres,episodes,duration_per_episode,score,year,studios,Q_views,minutes_per_episode
Banana Fish,Adventure,24,22 min per ep,8.46,2018,['MAPPA'],4,22
Banana Fish,Drama,24,22 min per ep,8.46,2018,['MAPPA'],4,22
Banana Fish,Suspense,24,22 min per ep,8.46,2018,['MAPPA'],4,22
Orange,Drama,13,24 min per ep,7.63,2016,['Telecom Animation Film'],2,24
Orange,Romance,13,24 min per ep,7.63,2016,['Telecom Animation Film'],2,24
Orange,Sci-Fi,13,24 min per ep,7.63,2016,['Telecom Animation Film'],2,24
Suki tte Ii na yo.,Drama,13,23 min per ep,7.39,2012,['Zexcs'],1,23
Suki tte Ii na yo.,Romance,13,23 min per ep,7.39,2012,['Zexcs'],1,23
Itsudatte Bokura no Koi wa 10 cm Datta.,Drama,6,23 min per ep,7.45,2017,['Lay-duce'],2,23
Itsudatte Bokura no Koi wa 10 cm Datta.,Romance,6,23 min per ep,7.45,2017,['Lay-duce'],2,23
Sono Bisque Doll wa Koi wo Suru,Romance,12,23 min per ep,8.15,2022,['CloverWorks'],1,23
Boku dake ga Inai Machi,Mystery,12,23 min per ep,8.3,2016,['A-1 Pictures'],2,23
Boku dake ga Inai Machi,Suspense,12,23 min per ep,8.3,2016,['A-1 Pictures'],2,23
Tonari no Kaibutsu-kun,Comedy,13,24 min per ep,7.45,2012,"[""Brain's Base""]",1,24
Tonari no Kaibutsu-kun,Romance,13,24 min per ep,7.45,2012,"[""Brain's Base""]",1,24
Ansatsu Kyoushitsu,Action,22,23 min per ep,8.07,2015,['Lerche'],1,23
Ansatsu Kyoushitsu,Comedy,22,23 min per ep,8.07,2015,['Lerche'],1,23
Koroshi Ai,Action,12,23 min per ep,6.9,2022,['Platinum Vision'],1,23
Koroshi Ai,Romance,12,23 min per ep,6.9,2022,['Platinum Vision'],1,23
Haikyuu!!,Sports,25,24 min per ep,8.44,2014,['Production I.G'],3,24
